"","species","lat","lon"
"282","Castilleja linariifolia",40.370778,-105.617553
"283","Castilleja linariifolia",37.547962,-118.813545
"284","Castilleja linariifolia",40.414218,-105.65511
"285","Castilleja linariifolia",40.902737,-105.429687
"286","Castilleja linariifolia",40.556087,-105.420983
"287","Castilleja linariifolia",40.387383,-105.606338
"288","Castilleja linariifolia",40.369314,-105.595575
"289","Castilleja linariifolia",40.806946,-105.542336
"290","Castilleja linariifolia",37.537506,-109.731597
"291","Castilleja linariifolia",37.305696,-108.428715
"292","Castilleja linariifolia",37.709665,-112.635655
"293","Castilleja linariifolia",40.320478,-105.532097
"294","Castilleja linariifolia",44.121456,-119.848358
"295","Castilleja linariifolia",40.387383,-105.606338
"296","Castilleja linariifolia",44.12227,-119.84848
"297","Castilleja linariifolia",40.332297,-105.579095
"298","Castilleja linariifolia",37.62507,-112.166419
"299","Castilleja linariifolia",44.122084,-119.848516
"300","Castilleja linariifolia",40.436928,-105.451217
"301","Castilleja linariifolia",37.422203,-118.061162
"302","Castilleja linariifolia",38.524067,-111.77496
"303","Castilleja linariifolia",37.455117,-113.184317
"304","Castilleja linariifolia",38.594933,-119.966502
"305","Castilleja linariifolia",36.312622,-115.605995
"306","Castilleja linariifolia",40.371033,-105.617661
"307","Castilleja linariifolia",40.337088,-105.56903
"308","Castilleja linariifolia",36.122036,-111.949263
"309","Castilleja linariifolia",39.021719,-108.641764
"310","Castilleja linariifolia",34.38348,-111.253076
"311","Castilleja linariifolia",40.37347,-105.613822
"312","Castilleja linariifolia",37.2122,-112.88352
"313","Castilleja linariifolia",44.121445,-119.848367
"314","Castilleja linariifolia",40.337819,-105.625612
"315","Castilleja linariifolia",37.393806,-109.826153
"316","Castilleja linariifolia",39.316545,-117.119074
"317","Castilleja linariifolia",38.020081,-119.26989
"318","Castilleja linariifolia",44.121475,-119.848337
"319","Castilleja linariifolia",40.363628,-105.535575
"320","Castilleja linariifolia",37.642795,-111.436158
"321","Castilleja linariifolia",44.122295,-119.848472
"322","Castilleja linariifolia",44.122272,-119.84845
"323","Castilleja linariifolia",38.022106,-119.264145
"324","Castilleja linariifolia",44.122292,-119.848463
"325","Castilleja linariifolia",37.444183,-118.746117
"326","Castilleja linariifolia",37.589583,-118.721
"327","Castilleja linariifolia",38.91595,-107.25475
"328","Castilleja linariifolia",40.428252,-105.407905
"329","Castilleja linariifolia",37.054318,-112.713595
"330","Castilleja linariifolia",38.959888,-106.988342
"331","Castilleja linariifolia",40.475624,-112.173882
"332","Castilleja linariifolia",37.58411,-118.86415
"333","Castilleja linariifolia",37.054303,-112.713653
"334","Castilleja linariifolia",37.226525,-112.989315
"335","Castilleja linariifolia",40.341961,-105.589053
"336","Castilleja linariifolia",34.294975,-111.292885
"337","Castilleja linariifolia",38.7167,-106.771671
"338","Castilleja linariifolia",40.4315,-105.421111
"339","Castilleja linariifolia",37.548837,-118.809545
"340","Castilleja linariifolia",40.368963,-105.613046
"341","Castilleja linariifolia",34.920371,-111.741201
"342","Castilleja linariifolia",38.145398,-119.421092
"343","Castilleja linariifolia",37.509347,-118.63868
"344","Castilleja linariifolia",36.871608,-112.676267
"345","Castilleja linariifolia",40.977348,-105.180707
"346","Castilleja linariifolia",40.6121,-109.2033
"347","Castilleja linariifolia",38.957111,-107.069604
"348","Castilleja linariifolia",37.38462,-112.83767
"349","Castilleja linariifolia",38.888864,-106.962575
"350","Castilleja linariifolia",37.221008,-112.720617
"351","Castilleja linariifolia",42.537783,-120.205117
"352","Castilleja linariifolia",38.95981,-106.988204
"353","Castilleja linariifolia",37.251583,-113.138494
"354","Castilleja linariifolia",38.433158,-107.073861
"355","Castilleja linariifolia",37.976875,-119.132011
"356","Castilleja linariifolia",37.221008,-112.720617
"357","Castilleja linariifolia",38.282783,-111.23877
"358","Castilleja linariifolia",36.06973,-115.460245
"359","Castilleja linariifolia",37.551102,-118.801914
"360","Castilleja linariifolia",41.093597,-105.588986
"361","Castilleja linariifolia",39.068325,-107.178863
"362","Castilleja linariifolia",42.665522,-118.644233
"363","Castilleja linariifolia",37.226744,-112.884339
"364","Castilleja linariifolia",38.95983,-106.988517
"365","Castilleja linariifolia",38.370567,-107.083892
"366","Castilleja linariifolia",39.024892,-108.636011
"367","Castilleja linariifolia",38.272026,-111.2078
"368","Castilleja linariifolia",38.758854,-107.287718
"369","Castilleja linariifolia",41.282212,-105.344763
"370","Castilleja linariifolia",38.96705,-106.99243
"371","Castilleja linariifolia",38.869642,-106.992355
"372","Castilleja linariifolia",37.500872,-112.755438
"373","Castilleja linariifolia",34.767953,-112.142182
"374","Castilleja linariifolia",37.97682,-119.131911
"375","Castilleja linariifolia",40.660749,-111.614543
"376","Castilleja linariifolia",37.429567,-118.06775
"377","Castilleja linariifolia",38.915645,-106.978671
"378","Castilleja linariifolia",37.96683,-119.120255
"379","Castilleja linariifolia",38.022003,-119.26452
"380","Castilleja linariifolia",37.464368,-113.193699
"381","Castilleja linariifolia",37.976922,-119.132103
"382","Castilleja linariifolia",38.906526,-107.010969
"383","Castilleja linariifolia",38.690992,-109.24733
"384","Castilleja linariifolia",44.678761,-109.068339
"385","Castilleja linariifolia",39.379907,-117.750957
"386","Castilleja linariifolia",39.926014,-116.296514
"387","Castilleja linariifolia",37.473728,-112.239803
"388","Castilleja linariifolia",37.774238,-119.129586
"389","Castilleja linariifolia",37.936475,-109.900803
"390","Castilleja linariifolia",38.04847,-119.262558
"391","Castilleja linariifolia",40.977585,-105.180623
"392","Castilleja linariifolia",37.217988,-112.974007
"393","Castilleja linariifolia",41.890041,-115.134403
"394","Castilleja linariifolia",35.547502,-108.611793
"395","Castilleja linariifolia",37.535013,-118.821495
"396","Castilleja linariifolia",37.854897,-111.451295
"397","Castilleja linariifolia",37.277522,-108.445678
"398","Castilleja linariifolia",38.577658,-112.315872
"399","Castilleja linariifolia",36.710179,-112.21864
"400","Castilleja linariifolia",38.148837,-119.399272
"401","Castilleja linariifolia",39.379907,-117.750957
"402","Castilleja linariifolia",37.43233,-118.748925
"403","Castilleja linariifolia",37.619355,-118.968516
"404","Castilleja linariifolia",40.325272,-108.945778
"405","Castilleja linariifolia",38.164895,-111.090867
"406","Castilleja linariifolia",37.665597,-112.138868
"407","Castilleja linariifolia",38.710742,-109.740263
"408","Castilleja linariifolia",38.898895,-117.376245
"409","Castilleja linariifolia",40.605975,-111.509317
"410","Castilleja linariifolia",37.220417,-112.707947
"411","Castilleja linariifolia",38.164847,-111.090844
"412","Castilleja linariifolia",38.333042,-119.635571
"413","Castilleja linariifolia",44.149125,-107.2024
"414","Castilleja linariifolia",37.656398,-119.06033
"415","Castilleja linariifolia",43.612653,-110.667889
"416","Castilleja linariifolia",40.608105,-111.512642
"417","Castilleja linariifolia",38.974665,-114.257916
"418","Castilleja linariifolia",38.33775,-119.634853
"419","Castilleja linariifolia",37.528153,-114.023453
"420","Castilleja linariifolia",38.103297,-119.286247
"421","Castilleja linariifolia",39.27511,-117.156827
"422","Castilleja linariifolia",39.000278,-114.649167
"423","Castilleja linariifolia",38.59119,-114.72879
"424","Castilleja linariifolia",36.301731,-115.680877
"425","Castilleja linariifolia",37.22253,-118.628908
"426","Castilleja linariifolia",36.545805,-117.488476
"427","Castilleja linariifolia",36.123672,-115.484011
"428","Castilleja linariifolia",38.325934,-118.249168
"429","Castilleja linariifolia",40.815,-110.79831
"430","Castilleja linariifolia",35.724158,-106.715736
"431","Castilleja linariifolia",42.905042,-111.885701
"432","Castilleja linariifolia",36.122156,-111.949347
"433","Castilleja linariifolia",40.723544,-105.576809
"434","Castilleja linariifolia",39.042453,-106.301597
"435","Castilleja linariifolia",36.699495,-112.213702
"436","Castilleja linariifolia",44.281819,-109.187483
"437","Castilleja linariifolia",36.059475,-112.104989
"438","Castilleja linariifolia",37.209258,-118.612388
"439","Castilleja linariifolia",37.463347,-113.1968
"440","Castilleja linariifolia",38.694525,-109.251138
"441","Castilleja linariifolia",37.33037,-118.09146
"442","Castilleja linariifolia",37.433362,-118.196638
"443","Castilleja linariifolia",37.331612,-108.41577
"444","Castilleja linariifolia",37.715476,-112.165325
"445","Castilleja linariifolia",42.752425,-112.395689
"446","Castilleja linariifolia",40.783497,-111.715073
"447","Castilleja linariifolia",41.174,-105.246
"448","Castilleja linariifolia",38.909758,-107.036606
"449","Castilleja linariifolia",37.732234,-105.502461
"450","Castilleja linariifolia",42.341439,-113.572804
"451","Castilleja linariifolia",38.954245,-106.979763
"452","Castilleja linariifolia",38.959562,-106.983467
"453","Castilleja linariifolia",41.177162,-105.264633
"454","Castilleja linariifolia",38.891039,-107.152739
"455","Castilleja linariifolia",36.215512,-112.056642
